doc_name,node_ix_src,text_src,edits,edits_count
2-180,2-180_edit_summary_1@0,The first change made was clarity modification in the title of the paper.,2-180_v2_0@0===2-180_v1_0@0,1
2-180,2-180_edit_summary_1@1,In the abstract only obe fact change was made.,2-180_v2_2@2===2-180_v1_2@2,1
2-180,2-180_edit_summary_2@0,"The first change made in the Introduction was a claim correction by deleting the word ""metaplasticity"".",2-180_v2_42@1===2-180_v1_41@1,1
2-180,2-180_edit_summary_2@1,Then authors changed the statement by adding factual information from the third party and the modification of the citations.,2-180_v2_6@2===2-180_v1_6@2,1
2-180,2-180_edit_summary_2@2,Also researchers add a factual sentence to explain why they have used ephrin-A2- and another statement explaining their aimto examine a learning mediated effect of rTMS.,2-180_v2_8@0===nan;2-180_v2_8@2===nan,2
2-180,2-180_edit_summary_3@0,In the Methods authors added factual statement explaining why randomised littermates were not used.,2-180_v2_11@4===nan,1
2-180,2-180_edit_summary_3@1,Then authors made a factual change by explaining mice age in equivalent with humans.,2-180_v2_11@6===2-180_v1_10@5,1
2-180,2-180_edit_summary_3@2,In the nest sentence grammar change was made.,2-180_v2_11@7===2-180_v1_10@6,1
2-180,2-180_edit_summary_4@0,"The factual statement describing why authors have decided to stimulate after the task was added in the ""Apparatus and Procedure"".",2-180_v2_13@4===nan,1
2-180,2-180_edit_summary_5@0,"In the ""rTMS application"" authors made a factual change by adding the citation.",2-180_v2_17@5===2-180_v1_16@4,1
2-180,2-180_edit_summary_5@1,in the nest sentence also factual citation correction was made.,2-180_v2_18@0===2-180_v1_17@0,1
2-180,2-180_edit_summary_5@2,Then authors made a factual correction that the pulse was monophasic.,2-180_v2_18@1===2-180_v1_17@1,1
2-180,2-180_edit_summary_5@3,Also researchers split the sentence into two parts in order to better explain the coil stimulation.,2-180_v2_19@1===2-180_v1_18@1;2-180_v2_19@2===2-180_v1_18@1,2
2-180,2-180_edit_summary_5@4,After that a number of the fact sentnecs was added explaining the differences of the coil usage in the cat and mice studies.,2-180_v2_19@3===nan;2-180_v2_19@4===nan;2-180_v2_19@5===nan,3
2-180,2-180_edit_summary_6@0,A claim correction was made explaining the difficulty of making conclusions based on the null results in the Discussion section.,2-180_v2_38@3===2-180_v1_37@3,1
2-180,2-180_edit_summary_6@1,In the next sentence claim change connected with the adverse effects in the study was made.,2-180_v2_38@4===2-180_v1_37@4,1
2-180,2-180_edit_summary_7@0,In the next Section authors made a factual change (in mice -> in different strain of mice).,2-180_v2_40@3===2-180_v1_39@3,1
2-180,2-180_edit_summary_7@1,A clarity word smithing change was made about the lack of studies.,,0
2-180,2-180_edit_summary_7@2,Also authors deleted the claim statement about the need of the further research.,nan===2-180_v1_39@7,1
