,doc_name,node_ix_src,text_src,label
0,1-12,1-12_v1_report345_10@1,The close proximity of the PPM and PVM seem to make vesicle trafficking not the most suitable way for this.,Weakness
1,1-12,1-12_v1_report345_11@0,"- Although an opinion article, alternatives to cytoplasmic acetylation could perhaps be discussed.",Implicit edit suggestion
2,1-12,1-12_v1_report345_4@1,"Although the proposed model fits a lot of the data on protein export, there are also some discrepancies that become obvious when delving into the details.",Weakness
3,1-12,1-12_v1_report345_5@0,"- The explanation why the mDHFR fusion constructs (REF 32) do not challenge the hypothesis (page 5, third and fourth paragraph) is difficult to understand.",Explicit edit suggestion
4,1-12,1-12_v1_report345_5@1,Is it assumed that the mDHFR domain is in the ER lumen while the PEXEL binds to the outside of the ER and that this binding would be able to rescue the unfolded domain but not the folded version out of the ER?,Weakness
5,1-12,1-12_v1_report345_5@2,In this case it is not entirely clear how this fits into the model for translocation of proteins into the ER.,Weakness
6,1-12,1-12_v1_report345_5@3,A graphical explanation of the topology of this situation with the mDHFR fusion protein and how it can ensue would be helpful.,Implicit edit suggestion
7,1-12,1-12_v1_report345_5@5,"As an aside on this topic: while it is true that functional evidence for the PVM translocon is lacking, it may be worth noting that there is some earlier evidence for ATP-dependent translocation of an exported protein across the PVM (Ansorge et al., 2006; Biochem J).",Weakness
8,1-12,1-12_v1_report345_6@9,These findings seem to be at odds with the proposed model.,Weakness
9,1-12,1-12_v1_report345_7@0,"- The data on the exact localisation of plasmepsin V, while not exactly excluding the possibility suggested in this review (page 2), could as well indicate a localisation within the ER.",Weakness
10,1-12,1-12_v1_report345_7@3,The conclusion here that this data ‘demonstrates that it is not a signal sequence’ may therefore not be correct.,Implicit edit suggestion
11,1-12,1-12_v1_report345_7@4,It is also not clear why PMV would possess an N-terminal hydrophobic region at all if it is targeted by its C-terminal hydrophobic region (P. falciparum contains components for the insertion of tailanchored proteins which do not require a signal peptide).,Implicit edit suggestion
12,1-12,1-12_v1_report345_8@0,"- The explanation for PEXEL negative protein (PNEP) export is a bit weak (page 5, first paragraph).",Explicit edit suggestion
13,1-21,1-21_v1_report457_3@11,I find this hard to interpret as it could suggest that,Weakness
14,1-21,1-21_v1_report457_3@14,It would be helpful if the authors could discuss this result in more detail.,Implicit edit suggestion
15,1-21,1-21_v1_report457_3@2,"I do, however, wonder about the independence of the results for doubling time (measured as optical density) and cell size.",Weakness
16,1-21,1-21_v1_report457_3@4,"The authors state that “Analyses of the distribution of several flow cytometry profiles showed that a difference in cell shape is unlikely to explain this result (see data associated to this article)” Since this is an absolutely central result of the finding, I would find it very helpful if the authors actually presented and discussed this evidence.",Explicit edit suggestion
17,1-21,1-21_v1_report457_3@5,"In fact, it was not clear to me which data were in support of this.",Implicit edit suggestion
18,1-21,1-21_v1_report457_3@6,"Otherwise, I do not think that the results should be used to primarily suggest a phage-induced response of increased growth rate, with a cost of decreased cell size.",Implicit edit suggestion
19,1-21,1-21_v1_report457_5@0,"First, I wonder whether the authors could clarify their thoughts on the mechanism underlying the change to smaller cell size and/or increased doubling time of bacteria encountering inactivated phages.",Implicit edit suggestion
20,1-21,1-21_v1_report457_6@0,"Second, I think the finding that bacteria treated with inactivated phages show changes in growth rate and/or cell size but do not differ in terms of their resistance to live phages is quite interesting! I would be keen to know what the infection rates of the control and treated populations were, as this would help with interpretation of the result.",Implicit edit suggestion
21,1-21,1-21_v1_report457_6@3,"The authors mention that smaller surface area would mean a lower encounter rate with phages, but this doesn’t seem to be the case when the cells are exposed to live phages.",Weakness
22,1-21,1-21_v1_report457_7@0,"As a very minor point, I wonder whether the authors meant to say that bacteria were separated from unbound, rather than bound, phages in their methods section, as it is unclear how centrifugation would separate bacteria from bound phages.",Explicit edit suggestion
23,1-21,1-21_v1_report458_1@0,"1. ls there a subpopulation of the UV inactivated phage that are destroyed in the process of creating them, such that addition to bacterial cultures might constitute addition of DNA that can be taken up through transformation ?",Implicit edit suggestion
24,1-21,1-21_v1_report458_1@1,"If so, is it possible that this transformed DNA is being used as a nutrient by the bacteria? This might explain the slight increase in growth rate of phage-exposed bacteria in the experiments.",Implicit edit suggestion
25,1-21,1-21_v1_report458_1@3,The authors should take this possibility into account.,Implicit edit suggestion
26,1-21,1-21_v1_report458_2@0,2. It is unclear what constitutes the controls performed in this study.,Weakness
27,1-21,1-21_v1_report458_2@1,"One choice of control would be to obtain the UV-inactivated phage, and then remove these particles via centrifugation.",Implicit edit suggestion
28,1-21,1-21_v1_report458_2@3,"However, it is unclear whether this was the approach used, and therefore I am worried that the chosen control is insufficient for drawing proper conclusions in the work.",Weakness
29,1-21,1-21_v1_report458_3@0,"Overall, the work seems very preliminary, and the data presented are not strongly supportive of the conclusions drawn.",Weakness
30,1-23,1-23_v1_report314_3@0,I think that the final section ‘final remarks’ should be replaced with the title ‘conclusions’.,Explicit edit suggestion
31,10-ARR,10-ARR_v1_review1_3@1,-The chosen evaluation metrics are neither appropriate nor insightful for the task.,Weakness
32,10-ARR,10-ARR_v1_review1_3@3,"It is still unsatisfying that a well thought out pipeline has not been convincingly evaluated.
",Weakness
33,10-ARR,10-ARR_v1_review1_3@4,"-The human evaluation helps somewhat but is very limited because it lacks comparisons with other methods.
",Weakness
34,10-ARR,10-ARR_v1_review1_3@5,-Use of existing resources -- lack of scientific novelty,Weakness
35,10-ARR,10-ARR_v1_review1_4@1,I would strongly advise the authors to provide a discussion/comparison with respect to: https://aclanthology.org/2020.sigdial-1.2.pdf Consider improving the work with a more sophisticated human evaluation on the actual dialogue task.,Implicit edit suggestion
36,10-ARR,10-ARR_v1_review1_5@1,"It is not clear to me if the following paper is not cited and compared with to preserve anonymity (i.e., some authors are the same). 
",Weakness
37,10-ARR,10-ARR_v1_review2_3@1,- The core contribution of the work is unclear: this work is a collection of work the authors done around reflective listening: a dataset and the pipeline to collect it; two methods for incorporating knowledge; a series of vastly different experiments.,Weakness
38,10-ARR,10-ARR_v1_review2_3@2,"The authors are advised to limit the scope to one of the contributions and elaborate on just that.
-Each individual contribution is limited in significance:     - The dataset itself is not carefully curated and the highlight instead is the automation of dataset creation process from Google search, which is also a complex collection of several trivial steps itself and is prone to propagated errors. 
    ",Implicit edit suggestion
39,10-ARR,10-ARR_v1_review2_3@3,"- The two methods proposed are mostly based on pre-existing libraries along with a series of engineering techniques (e.g., turning triplets into sentences using templates, masking out part of the input, combining K-BERT with BART, etc.). No novel architecture tailored to the studied task is being proposed. 
    ",Implicit edit suggestion
40,10-ARR,10-ARR_v1_review2_3@4,"- The evaluation metrics are not well-motivated thus it is not entirely clear how well do they reflect the usefulness of the proposed techniques. The human evaluation was performed by just 2 annotations with their professional background unspecified. 
    ",Weakness
41,10-ARR,10-ARR_v1_review2_3@5,"- Again, additional experiments in Section 4.5 is an overly detailed piece of information and is not super relevant to rest of the writing.",Weakness
42,10-ARR,10-ARR_v1_review3_3@1,"- Lack of illustrative examples regarding the model outputs.
",Weakness
43,10-ARR,10-ARR_v1_review3_3@2,"-Some details regarding the knowledge collection process have been omitted (see ""Questions"" below).",Weakness
44,10-ARR,10-ARR_v1_review3_4@2,"2: Why did you discard the ""anatomy"" category?
-l.",Weakness
45,10-ARR,10-ARR_v1_review3_4@3,"221: How many query templates did you specify in total?
-l.",Weakness
46,10-ARR,10-ARR_v1_review3_4@4,"227: What's the size of the set of knowledge candidates?
-l. 550: Did you calculate the agreement between the annotators? Were the annotators authors of the paper?
MINOR: -Try to better align the figures with the text.",Implicit edit suggestion
47,10-ARR,10-ARR_v1_review3_4@5,"
-fix punctuation: l. 336, l. 433, l. 445, l. 534 -Table 2: The highlighting of the numbers does not correspond to the caption (""highest scores are in bold, second highest scores in italic"")",Implicit edit suggestion
48,110-ARR,110-ARR_v1_review1_3@1,The performance for some tasks and some models increased significantly but this is not true in all cases.,Weakness
49,110-ARR,110-ARR_v1_review1_3@3,But it does not explain all results (like Bert small better than large even after intermediate training).,Weakness
50,110-ARR,110-ARR_v1_review1_3@4,The authors did also not comment on the difference of behaviour of BERT and Roberta models.,Implicit edit suggestion
51,110-ARR,110-ARR_v1_review1_4@1,One table with all the results - before and after intermediate training would help readers to observe differences.,Implicit edit suggestion
52,114-ARR,114-ARR_v1_review1_3@3,"
- Case visualization contains only two examples of each instance and consists of mere conjectures about the reason behind their model’s performance and errors.",Weakness
53,14-ARR,14-ARR_v1_review1_3@1,"1. Authors could have investigated Vrank predictions, towards understanding where the model makes mistakes.",Implicit edit suggestion
54,14-ARR,14-ARR_v1_review1_3@6,"This seems to be a weakness of the proposed approach since by definition, it is trying to imitate human judgment, but without access to the same information that annotators had to decide.",Weakness
55,14-ARR,14-ARR_v1_review1_3@7," In the Appendix, ""Model Design"" section, authors state that tried vision and language models but do not provide details.",Explicit edit suggestion
56,14-ARR,14-ARR_v1_review1_3@9,"Given the insights gathered by the authors, I would expect a critical discussion regarding the inclusion of Vrank in VIST evaluation protocols.",Implicit edit suggestion
57,14-ARR,14-ARR_v1_review1_4@1,"In overall, the paper is well written, but there are some minor typos so I would suggest proofreading the manuscript.",Implicit edit suggestion
58,14-ARR,14-ARR_v1_review1_4@2,"Some of the typos/grammar issues found: -Line 130-131: check grammar -Line 248: ""... and is ..."" -Line 400-401: check grammar -Line 426: ""autometric"" -Line 556-557: check grammar",Explicit edit suggestion
59,14-ARR,14-ARR_v1_review2_3@1,"1. The related work section, especially the part related to ""VIST-Human Evaluation"", should report more details about the difference between their approach and previous state of the art",Explicit edit suggestion
60,14-ARR,14-ARR_v1_review2_3@2,2. It would be beneficial if the authors could release both their data as well as pretrained model in order to make sure that other researchers can reuse their evaluation and potentially build upon their work,Implicit edit suggestion
61,14-ARR,14-ARR_v1_review2_4@1,1. Typo Line 516,Explicit edit suggestion
62,14-ARR,14-ARR_v1_review3_3@4,"
One small technical concern: For Table 4, The BLEU-4 score is suspiciously low, especially in comparison to SacreBLEU, which also computes BLEU-4.",Weakness
63,14-ARR,14-ARR_v1_review3_3@5,"My suspicion is that BLEU-4 is often zero for some stories, which leads to many ties of 0 vs 0. I think that ties should be broken randomly, or that the authors should mention this is the cause (if indeed my suspicions are correct).",Explicit edit suggestion
64,152-ARR,152-ARR_v1_review1_3@1,"1. The improvements are marginal, inparticular the ConLL.    ",Weakness
65,152-ARR,152-ARR_v1_review1_3@3,"Thus, the paper should compare with this line of work.",Implicit edit suggestion
66,152-ARR,152-ARR_v1_review1_4@2,The paper might be stronger if there exists one method better than the others.       ,Implicit edit suggestion
67,152-ARR,152-ARR_v1_review1_4@3,2. Significance test might be needed.      ,Implicit edit suggestion
