edit_index,doc_name,node_ix_src,node_ix_tgt,gold,s_index,node_type_src,node_type_tgt,sec_node_src,sec_node_tgt,sec_id_src,sec_id_tgt,sec_title_src,sec_title_tgt
0,1-12,1-12_v2_12,1-12_v1_12,"Modify,Clarity",5999,p,p,"1-12_v2_11,title","1-12_v1_11,title",3,3,The hypothesis,The hypothesis
1,1-12,1-12_v2_16,,"Add,Claim;Add,Fact/Evidence",5993;5994,p,,"1-12_v2_11,title",,3,,The hypothesis,
2,1-12,1-12_v2_16,1-12_v1_16,"Modify,Fact/Evidence;Modify,Fact/Evidence;Modify,Grammar;Modify,Claim",6000;6001;6002;6003,p,p,"1-12_v2_11,title","1-12_v1_11,title",3,3,The hypothesis,The hypothesis
3,1-12,1-12_v2_28,1-12_v1_28,"Modify,Grammar",5995,p,p,"1-12_v2_27,title","1-12_v1_27,title",6,6,The way out,The way out
4,1-12,1-12_v2_32,1-12_v1_32,"Modify,Grammar",5996,p,p,"1-12_v2_27,title","1-12_v1_27,title",6,6,The way out,The way out
5,1-21,1-21_v2_10,1-21_v1_10,"Modify,Grammar;Modify,Grammar;Modify,Grammar",6031;6032;6033,p,p,"1-21_v2_9,title","1-21_v1_9,title",2,2,Results,Results
6,1-21,1-21_v2_13,,"Add,Fact/Evidence",6004,p,,"1-21_v2_9,title",,2,,Results,
7,1-21,1-21_v2_13,1-21_v1_13,"Modify,Grammar;Modify,Clarity;Modify,Claim",6034;6035;6036,p,p,"1-21_v2_9,title","1-21_v1_9,title",2,2,Results,Results
8,1-21,1-21_v2_16,1-21_v1_16,"Modify,Grammar",6019,p,p,"1-21_v2_9,title","1-21_v1_9,title",2,2,Results,Results
9,1-21,1-21_v2_18,,"Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Fact/Evidence;Add,Claim;Add,Claim",6005;6006;6007;6008;6009;6010;6011;6012,p,,"1-21_v2_17,title",,3,,Discussion,
10,1-21,1-21_v2_18,1-21_v1_18,"Modify,Claim",6020,p,p,"1-21_v2_17,title","1-21_v1_17,title",3,3,Discussion,Discussion
11,1-21,1-21_v2_18,1-21_v1_19,"Modify,Clarity;Modify,Grammar",6021;6022,p,p,"1-21_v2_17,title","1-21_v1_17,title",3,3,Discussion,Discussion
12,1-21,1-21_v2_21,1-21_v1_22,"Modify,Fact/Evidence;Modify,Claim",6023;6024,p,p,"1-21_v2_17,title","1-21_v1_17,title",3,3,Discussion,Discussion
13,1-21,1-21_v2_28,,"Add,Fact/Evidence",6013,p,,"1-21_v2_27,title",,4.3,,Preliminary tests,
