edit_index,doc_name,node_ix_src,node_ix_tgt,text_src,text_tgt,gold,label
315,120-ARR,120-ARR_v2_27@2,,The basic definition is a set of features that are correlated but not causally related.,,"Add,Claim",Claim
316,120-ARR,120-ARR_v2_28@5,,"This definition does not address the nature of the feature (genuine or not), but does make an implicit assumption that such features are of high importance (e.g., high pointwise mutual information values with the corresponding label; Gururangan et al., 2018).",,"Add,Claim",Claim
317,120-ARR,120-ARR_v2_28@6,,"This definition is no longer subjective in terms of the genuineness of the feature, but is still subjective in the level of effect on generalizability (i.e., what is a high value of PMI?).",,"Add,Claim",Claim
318,120-ARR,120-ARR_v2_51@2,,"We argue that doing so is a desired strategy in many cases (though a preferred strategy might be to interact of abstain from making a decisive prediction, see Sec. 4.2).",,"Add,Claim",Claim
319,120-ARR,120-ARR_v2_52@0,,We also acknowledge that correlations in the real world can be misleading.,,"Add,Claim",Claim
320,120-ARR,120-ARR_v2_52@1,,"For instance, people often mistake the biggest commercial city in some countries for their capital (e.g., Istanbul in Turkey), potentially due to the high correlation between the two.",,"Add,Claim",Claim
321,120-ARR,120-ARR_v2_52@2,,"In such cases, relying on the fallback option might lead to prediction error.",,"Add,Claim",Claim
322,120-ARR,120-ARR_v2_52@3,,"However, we argue that following the human strategy of relying on a fallback option in cases of uncertainty will promote models' communication abilities.",,"Add,Claim",Claim
323,120-ARR,120-ARR_v2_62@0,,"7 Though we should continually assess the challenge negation poses on the most recent models (Bowman, 2022).",,"Add,Fact/Evidence",Fact/Evidence
324,120-ARR,120-ARR_v2_62@1,,"8 We recognize that editing pretrained corpora poses significant challenges due to their immense size, as demonstrated by recent efforts such as corpus analysis and deduplication (Lee et al., 2022).",,"Add,Fact/Evidence",Fact/Evidence
325,120-ARR,120-ARR_v2_63@0,,9 See Abend and Rappoport (2017) for a survey.,,"Add,Fact/Evidence",Fact/Evidence
326,120-ARR,120-ARR_v2_79@0,,"Finally, concurrent to this work, Eisenstein (2022) discussed several types of spurious correlations in the context of causality theory (Pearl, 2009), and used a toy example to demonstrate their different effects on models.",,"Add,Fact/Evidence",Fact/Evidence
327,120-ARR,120-ARR_v2_79@1,,"They concluded that domain knowledge is required to identify the correlations that are indeed spurious, i.e., those that might challenge the generalization ability of models.",,"Add,Fact/Evidence",Fact/Evidence
586,129-ARR,129-ARR_v2_2@6,,Our implementation is available at https://github.,,"Add,Fact/Evidence",Fact/Evidence
587,129-ARR,129-ARR_v2_70@0,,Active Learning Setups.,,"Add,Other",Other
588,129-ARR,129-ARR_v2_70@1,,"Following (Yuan et al., 2020), we set the number of rounds T = 10, the overall budget for all datasets b = 1000 and the initial size of the labeled |X l | is set to 100.",,"Add,Fact/Evidence",Fact/Evidence
589,129-ARR,129-ARR_v2_70@2,,"In each AL round, we sample a batch of 100 samples from the unlabeled set X u and query their labels.",,"Add,Fact/Evidence",Fact/Evidence
590,129-ARR,129-ARR_v2_70@4,,"For weakly-supervised text classification, since the datasets are much smaller, we keep the labeling budget and the size of development set to b = 500.",,"Add,Fact/Evidence",Fact/Evidence
