doc_name,node_ix_src,text_src,label
166-ARR,166-ARR_v1_review1_3@0,"summary_of_weaknesses. - Generally, the evaluation is rather ""narrow"" -- it compares only with variations of the same model (either full cross or split at the same level). It may be helpful to include more baselines to put these results in more context. The baselines presented, however, are rather strong -- with DistilBERT achieving 0.390 MRR@10 on MS MARCO (compared to Nogueria & Cho's 0.365 using BERT-large). 
 ",Yes
166-ARR,166-ARR_v1_review1_3@1,"- The evaluation on CAR appears to have been conducted using ""automatic"" labels (based on the reported number of positive passages per query), even though human-provided labels are available. In general, further details about which version of CAR was used should be provided. 
 ",Yes
166-ARR,166-ARR_v1_review1_3@2,"- Equivalent performance is determined statistically via the failure of a one-sided t-test. Equivalence testing (e.g., TOST) could be used instead to strengthen the statistical claims. 
 ",Yes
166-ARR,166-ARR_v1_review1_3@3,- It would be nice to have seen this work on other base models-- particularly a T5-based model.,Yes
166-ARR,166-ARR_v1_review1_4@0,"comments,_suggestions_and_typos. - This work may feel more ""at home"" at an IR conference -- I'm not sure how interesting this will be to a broader *CL audience.",Yes
166-ARR,166-ARR_v1_review1_4@2,"
 - Can this approach be used with the ColBERT model, where the ranking scores are based only on the similarities within the last layer?",Yes
172-ARR,172-ARR_v1_review1_3@11,"To Reviewer2.1**: First, distilling B task into A task improves A is not so surprising.",Yes
172-ARR,172-ARR_v1_review1_3@2,"There is little novelty since the distillation technique is not new while the idea of cross-model training is not new, either.
",Yes
172-ARR,172-ARR_v1_review1_3@20,"However, I suspect that substituting CLIP with any pretrained LM would also work.",Yes
172-ARR,172-ARR_v1_review1_3@21,"But again, as the authors point out, ""the linguistic competence is CLIP-T very low"" so this paper has some insights and presents previously unknown results.",Yes
172-ARR,172-ARR_v1_review1_3@25,Just manually reassign the weights in the original `state_dict` to a `state_dict` of a Hugging Face BERT model.,Yes
172-ARR,172-ARR_v1_review1_3@3,-I'm surprised that in Table 1 CLIP-T performs so badly even when finetuned.,Yes
172-ARR,172-ARR_v1_review1_3@5,"-Is it possible that the improvement of the distilled cross-modal model comes from ensembling instead of visual grounding?
",Yes
172-ARR,172-ARR_v1_review1_3@6,"-I suggest the authors make the weights publically available (can be anonymous during double-blind reviewing) so the results can be easily verified by the community.
",Yes
192-ARR,192-ARR_v1_review1_3@1,"1. 	Innovation is weak, only the modification of existing methods.",Yes
192-ARR,192-ARR_v1_review1_3@5,But little experiments are carried out to prove its effectiveness.,Yes
192-ARR,192-ARR_v1_review1_3@6,It seems that MTST in ablation study aims to prove it but the description “multiple-teacher to single-teacher” and “teacher and student have the same neural network structure” is confusing.,Yes
