,before,after,label
0,"In particular , modern imaging and machine learning methods rely strongly on maximum-a-posteriori estimation [EQUATION] whose calculation is a convex problem that can often be solved very efficiently , even in very high dimensions ( e.g. , [MATH] ) , by using convex optimisation techniques [CITATION] .","In particular , modern imaging and machine learning methods rely strongly on maximum-a-posteriori ( MAP ) estimation [EQUATION] whose calculation is a convex problem that can often be solved very efficiently , even in very high dimensions ( e.g. , [MATH] ) , by using convex optimisation techniques [CITATION] .",Lang-professional-Improve-style
1,"According to the proof of Proposition 2 , [MATH] , [MATH] is monotonically increasing in [MATH] .","According to the proof of Corollary 1 , [MATH] , [MATH] is monotonically increasing in [MATH] .",Lang-accurate-spefific
2,"However , depending somewhat on the Hubble constant prior we use , consensus flat [MATH] CDM can be 1 [MATH] or 2 [MATH] away from the best-fit parameter values in some cases , which can favor mild dark energy dynamics or mildly closed spatial hypersurfaces .","However , depending somewhat on the Hubble constant prior we use , consensus flat [MATH] CDM can be 1 [MATH] away from the best-fit parameter values in some cases , which can favor mild dark energy dynamics or mildly closed spatial hypersurfaces .",Format
3,"However , depending somewhat on the Hubble constant prior we use , consensus flat [MATH] CDM can be 1 [MATH] or 2 [MATH] away from the best-fit parameter values in some cases , which can favor mild dark energy dynamics or mildly closed spatial hypersurfaces .","However , depending somewhat on the Hubble constant prior we use , consensus flat [MATH] CDM can be 1 [MATH] or 2 [MATH] away from the best-fit parameter values in some cases , which can favor mild dark energy dynamics or non-flat spatial hypersurfaces .",Lang-accurate-spefific
4,This indicates that the mass fraction of in-situ kicked-out disc stars along the minor axis is negligible at distances larger than 15 kpc .,This indicates that the mass fraction of in-situ heated disc stars along the minor axis is negligible at distances larger than 15 kpc .,Lang-accurate-spefific
5,"For comparison purposes we must use consistent methods for determination , and if one does so then one finds [CITATION] that [MATH] at [MATH] in the quenched theory , demonstrating that this provides an appropriate quenched limit for our calculations .","For comparison purposes we must use consistent methods for determination , and if one does so then one finds [CITATION] that [MATH] at [MATH] in the quenched theory , demonstrating that this provides an appropriate quenched limit for our calculations ( see Table [REF] ) .",Format
6,"For comparison purposes we must use consistent methods for determination , and if one does so then one finds [CITATION] that [MATH] at [MATH] in the quenched theory , demonstrating that this provides an appropriate quenched limit for our calculations ."," one finds [CITATION] that [MATH] at [MATH] in the quenched theory , demonstrating that this provides an appropriate quenched limit for our calculations .",Content
7,The zero component [MATH] denotes the Euclidean time .,"The zero component [MATH] denotes For a constant electric field , the worldline instanton is a circle of radius [MATH] , given by [CITATION] [EQUATION] where the Euclidean time .",Content
8,The zero component [MATH] denotes the Euclidean time .,The zeroth component [MATH] denotes the Euclidean time .,Improve-grammar-Typo
9,The enhancement factor is then in the weak-field condition [MATH] [EQUATION],The enhancement factor is then in the weak-field condition [EQUATION],Format
10,"In the Quadratic Case , the splitting is dominantly attributed to the vector-like mass splitting [MATH] .","In the Quadratic Case [MATH] , the splitting is dominantly attributed to the vector-like mass splitting [MATH] .",Format
11,Substituting Eq. ( [REF] ) in Eq. ( [REF] ) one has [EQUATION], and using Eq. ( [REF] ) one has [EQUATION] Substituting Eq. ( [REF] ) in Eq. ( [REF] ) one has [EQUATION],Content
12,"Probability distributions may thus be used in order to avoid enumerating the details of all situations faced by investors , and where a particular technology is on average more profitable to use than a second one , there usually exist specific situations where the reverse turns out to be true ."," Data derived Probability distributions may thus be used in order to avoid enumerating the details of all situations faced by investors , and where a particular technology is on average more profitable to use than a second one , there usually exist specific situations where the reverse turns out to be true .",Lang-accurate-spefific
